"Gebieden in Nederland 2021"
""
"","Subject"
"","Codes en namen van gemeenten|Code","Codes en namen van gemeenten|Naam","Codes en namen van gemeenten|Sortering naam","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|COROP-gebieden|Code","Lokaliseringen van gemeenten|COROP-gebieden|Naam","Lokaliseringen van gemeenten|COROP-subgebieden|Code","Lokaliseringen van gemeenten|COROP-subgebieden|Naam","Lokaliseringen van gemeenten|COROP-plusgebieden|Code","Lokaliseringen van gemeenten|COROP-plusgebieden|Naam","Lokaliseringen van gemeenten|GGD-regio's|Code","Lokaliseringen van gemeenten|GGD-regio's|Naam","Lokaliseringen van gemeenten|Jeugdregio's|Code","Lokaliseringen van gemeenten|Jeugdregio's|Naam","Lokaliseringen van gemeenten|Kamer van Koophandel|Code","Lokaliseringen van gemeenten|Kamer van Koophandel|Naam","Lokaliseringen van gemeenten|Landbouwgebieden|Code","Lokaliseringen van gemeenten|Landbouwgebieden|Naam","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Code","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Naam","Lokaliseringen van gemeenten|Landsdelen|Code","Lokaliseringen van gemeenten|Landsdelen|Naam","Lokaliseringen van gemeenten|Provincies|Code","Lokaliseringen van gemeenten|Provincies|Naam","Lokaliseringen van gemeenten|Regionale eenheden|Code","Lokaliseringen van gemeenten|Regionale eenheden|Naam","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|SubRES-regio’s|Code","Lokaliseringen van gemeenten|SubRES-regio’s|Naam","Lokaliseringen van gemeenten|Toeristengebieden|Code","Lokaliseringen van gemeenten|Toeristengebieden|Naam","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Code","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Naam","Lokaliseringen van gemeenten|Veiligheidsregio's|Code","Lokaliseringen van gemeenten|Veiligheidsregio's|Naam","Lokaliseringen van gemeenten|Zorgkantoorregio's|Code","Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Code","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Omschrijving","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving","Statistische gegevens|Inwonertal","Statistische gegevens|Omgevingsadressendichtheid"
"Lock","GM1714","Lock","Lock","AM24","Zealand","AR11","Zeeland-West-Brabant","CR31","ZeelandFlanders","CS310","ZeelandFlanders","CP3100","ZeelandFlanders","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2903","ZeelandFlanders","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC33","ZeelandFlanders","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR02","NorthSeaseasideresorts","VT23","Zealand","VR19","Zealand","ZK27","Zealand","4","20,000to50,000inhabitants","5","Non-urban","23166","434"
"Smallingerland","GM0090","Smallingerland","Smallingerland","AM02","Friesland","AR05","NorthernNetherlands","CR06","SoutheastFriesland","CS060","SoutheastFriesland","CP0600","SoutheastFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2103","TheWoods","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC06","Friesland-East","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR05","LakesinGroningen,Friesland,NW-Overijssel","VT04","Friesland","VR02","Friesland","ZK08","Friesland","5","50,000to100,000inhabitants","3","Moderatelyurban","56040","1341"
"Soest","GM0342","Soest","Soest","AM14","Amersfoort","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1702","AmersfoortMetropolitanRegion","GG2514","GGDRegionUtrecht","JZ20","Eemland","KK41","Northwest","LB2604","Eemland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES13","Amersfoort","MC16","EemandValley","RA0513","Amersfoortandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1301","Amersfoort","TR07","UtrechtHillRidgeand'tGooi","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","4","20,000to50,000inhabitants","3","Moderatelyurban","46906","1469"
"Someren","GM0847","Someren","Someren","AM32","Helmond-DePeel","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","3","10,000to20,000inhabitants","4","Notveryurban","19428","736"
"Son and Breugel","GM0848","SonandBreugel","SonandBreugel","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","3","10,000to20,000inhabitants","4","Notveryurban","17552","695"
"City Canal","GM0037","CityCanal","CityCanal","AM01","Groningen","AR05","NorthernNetherlands","CR01","EastGroningen","CS010","EastGroningen","CP0100","EastGroningen","GG0111","GGDGroningen","JZ01","Groningen","KK42","North","LB2004","WesterwoldeandGroningenPeatColonies","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV20","Groningen","RE01","NorthernNetherlands","ES01","Groningen","MC01","EastGroningen","RA0101","Groningen","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0101","Groningen","TR17","OtherNetherlands","VT08","Groningen","VR01","Groningen","ZK09","Groningen","4","20,000to50,000inhabitants","4","Notveryurban","31754","836"
"Staphorst","GM0180","Staphorst","Staphorst","AM36","Zwolleregion","AR06","Overijssel","CR10","NorthOverijssel","CS100","NorthOverijssel","CP1000","NorthOverijssel","GG1009","GGDIJsselland","JZ07","IJsselland","KK43","East","LB2301","PasturelandinOverijssel","LG03","NorthernMeadowArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES05","WestOverijssel","MC10","IJssel-Vecht","RA0204","Zwolleregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0501","WestOverijssel","TR11","Twente,SallandandVechtregion","VT11","IJsselland","VR04","IJsselland","ZK32","Zwolle","3","10,000to20,000inhabitants","5","Non-urban","17261","356"
"Stede Broec","GM0532","StedeBroec","StedeBroec","AM15","NorthHollandNorth","AR02","NorthHolland","CR18","HeadofNorthHolland","CS180","HeadofNorthHolland","CP1800","HeadofNorthHolland","GG2707","MunicipalHealthServiceHollands-Noorden","JZ05","WestFriesland","KK41","Northwest","LB2705","WestFrieslandandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC22","WestFriesland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1503","WestFriesland","TR03","IJsselmeercoast","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","4","20,000to50,000inhabitants","3","Moderatelyurban","21743","1145"
"Steenbergen","GM0851","Steenbergen","Steenbergen","AM25","WestBrabant","AR11","Zeeland-West-Brabant","CR33","WestNorthBrabant","CS330","WestNorthBrabant","CP3300","WestNorthBrabant","GG5206","GGDWest-Brabant","JZ36","WestBrabantWest","KK44","South","LB3001","Northwestcorner","LG11","SouthwesternArableFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR04","Deltaarea","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","4","20,000to50,000inhabitants","4","Notveryurban","24310","733"
"Steenwijkerland","GM1708","Steenwijkerland","Steenwijkerland","AM36","Zwolleregion","AR06","Overijssel","CR10","NorthOverijssel","CS100","NorthOverijssel","CP1000","NorthOverijssel","GG1009","GGDIJsselland","JZ07","IJsselland","KK43","East","LB2301","PasturelandinOverijssel","LG03","NorthernMeadowArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES05","WestOverijssel","MC10","IJssel-Vecht","RA0204","Zwolleregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0501","WestOverijssel","TR05","LakesinGroningen,Friesland,NW-Overijssel","VT11","IJsselland","VR04","IJsselland","ZK32","Zwolle","4","20,000to50,000inhabitants","4","Notveryurban","44341","592"
"Stein (L.)","GM0971","Stone","Stone","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3003","WesternMiningRegion","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","4","20,000to50,000inhabitants","4","Notveryurban","24875","905"
"Stichtse Vecht","GM1904","StichtseVecht","StichtseVecht","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1703","UtrechtMetropolitanArea","GG2514","GGDRegionUtrecht","JZ19","UtrechtWest","KK41","Northwest","LB2602","WesternPastureAreainUtrecht","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR06","Dutch-Utrechtlakes","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","5","50,000to100,000inhabitants","3","Moderatelyurban","65108","1194"
"Southwest Friesland","GM1900","SouthwestFriesland","SouthwestFriesland","AM02","Friesland","AR05","NorthernNetherlands","CR05","SouthwestFriesland","CS050","SouthwestFriesland","CP0500","SouthwestFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2102","PastureregioninFriesland","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC05","South-WestFriesland","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR03","IJsselmeercoast","VT04","Friesland","VR02","Friesland","ZK08","Friesland","5","50,000to100,000inhabitants","4","Notveryurban","89999","846"
"Terneuzen","GM0715","Terneuzen","Terneuzen","AM24","Zealand","AR11","Zeeland-West-Brabant","CR31","ZeelandFlanders","CS310","ZeelandFlanders","CP3100","ZeelandFlanders","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2903","ZeelandFlanders","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC33","ZeelandFlanders","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR04","Deltaarea","VT23","Zealand","VR19","Zealand","ZK27","Zealand","5","50,000to100,000inhabitants","4","Notveryurban","54463","876"
"Terschelling","GM0093","Terschelling","Terschelling","AM02","Friesland","AR05","NorthernNetherlands","CR04","NorthFriesland","CS040","NorthFriesland","CP0400","NorthFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2104","Islands","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC04","FrieslandNorth","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR01","WaddenIslands","VT04","Friesland","VR02","Friesland","ZK08","Friesland","1","lessthan5,000inhabitants","5","Non-urban","4870","250"
"Texel","GM0448","Texel","Texel","AM15","NorthHollandNorth","AR02","NorthHolland","CR18","HeadofNorthHolland","CS180","HeadofNorthHolland","CP1800","HeadofNorthHolland","GG2707","MunicipalHealthServiceHollands-Noorden","JZ03","HeadofNorthHolland","KK41","Northwest","LB2704","TexelandLandofZijpe","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC23","HeadofNorthHolland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1501","HeadofNorthHolland","TR01","WaddenIslands","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","3","10,000to20,000inhabitants","5","Non-urban","13656","483"
"Teylingen","GM1525","Teylingen","Teylingen","AM19","HollandRhineland","AR07","TheHague","CR25","LeidenandBulbRegionagglomeration","CS250","LeidenandBulbRegionagglomeration","CP2500","LeidenandBulbRegionagglomeration","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2808","Bulbregion","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC26","SouthHolland-North","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","4","20,000to50,000inhabitants","3","Moderatelyurban","37791","1408"
"Tholen","GM0716","Tholen","Tholen","AM24","Zealand","AR11","Zeeland-West-Brabant","CR32","OtherZeeland","CS320","OtherZeeland","CP3200","OtherZeeland","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2901","NorthernZeeland","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC31","EasternScheldtregion","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR04","Deltaarea","VT23","Zealand","VR19","Zealand","ZK27","Zealand","4","20,000to50,000inhabitants","5","Non-urban","26085","488"
"Tiel","GM0281","Tiel","Tiel","AM10","Riverland","AR03","Gelderland","CR16","SouthwestGelderland","CS160","SouthwestGelderland","CP1600","SouthwestGelderland","GG2014","MunicipalHealthServiceGelderland-South","JZ30","Riverland","KK43","East","LB2505","VeluwezoomandBetuwe","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES11","FruitDeltaRivierenland","MC15","Riverland","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1101","FruitDeltaRivierenland","TR09","GelderlandRiverArea","VT06","Gelderland-South","VR08","Gelderland-South","ZK16","Nijmegen","4","20,000to50,000inhabitants","3","Moderatelyurban","41920","1435"
"Tilburg","GM0855","Tilburg","Tilburg","AM26","CentralBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5406","GGDHeartforBrabant","JZ35","CentralBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES25","HeartofBrabant","MC35","CentralBrabant","RA1324","CentralBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2501","HeartofBrabant","TR13","WestandCentralBrabant","VT15","NorthBrabantCentral","VR20","CentralandWestBrabant","ZK12","CentralBrabant","7","150,000to250,000inhabitants","1","Verystrongurban","221947","2807"
"Tubbergen","GM0183","Tubbergen","Tubbergen","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","4","20,000to50,000inhabitants","5","Non-urban","21315","296"
"Twenterand","GM1700","Twenterand","Twenterand","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","4","20,000to50,000inhabitants","4","Notveryurban","33699","596"
"Tynaarlo","GM1730","Tynaarlo","Tynaarlo","AM01","Groningen","AR05","NorthernNetherlands","CR07","NorthDrenthe","CS070","NorthDrenthe","CP0700","NorthDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2202","SmildeandCentralSandyAreainDrenthe","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC07","NorthandCentralDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","4","20,000to50,000inhabitants","4","Notveryurban","33978","510"
"Tytsjerksteradiel","GM0737","Tytsjerksteradiel","Tytsjerksteradiel","AM02","Friesland","AR05","NorthernNetherlands","CR04","NorthFriesland","CS040","NorthFriesland","CP0400","NorthFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2103","TheWoods","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC06","Friesland-East","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR05","LakesinGroningen,Friesland,NW-Overijssel","VT04","Friesland","VR02","Friesland","ZK08","Friesland","4","20,000to50,000inhabitants","5","Non-urban","32060","478"
"Uden","GM0856","Uden","Uden","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS352","OtherNortheastNorthBrabant","CP3520","OtherNortheastNorthBrabant","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","42291","1384"
"Uitgeest","GM0450","Uitgeest","Uitgeest","AM15","NorthHollandNorth","AR02","NorthHolland","CR20","IJmond","CS200","IJmond","CP2000","IJmond","GG3109","MunicipalHealthServiceKennemerland","JZ06","Alkmaar(NorthKennemerland)","KK41","Northwest","LB2706","WaterlandandNorthHollandPolders","LG08","WaterlandandPolders","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC24","NorthKennemerland","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1502","Alkmaarregion","TR06","Dutch-Utrechtlakes","VT17","NorthHollandNorth","VR12","Kennemerland","ZK11","Kennemerland","3","10,000to20,000inhabitants","3","Moderatelyurban","13632","1105"
"Uithoorn","GM0451","Uithoorn","Uithoorn","AM18","GreaterAmsterdam","AR01","Amsterdam","CR23","GreaterAmsterdam","CS232","OtherGreaterAmsterdam","CP2323","Haarlemmermeerandsurroundings","GG3406","GGDAmsterdam","JZ13","Amsterdam-Amstelland","KK41","Northwest","LB2703","AmstellandandAalsmeer","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE05","Amsterdam","ES16","NorthHollandSouth","MC21","AmsterdamAgglomeration","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1606","Amstelland","TR17","OtherNetherlands","VT01","Amsterdam-Amstelland","VR13","Amsterdam-Amstelland","ZK01","AmstellandandDeMeerlanden","4","20,000to50,000inhabitants","3","Moderatelyurban","30206","1445"
"Urk","GM0184","Urk","Urk","AM11","Flevoland","AR04","CentralNetherlands","CR40","Flevoland","CS400","Flevoland","CP4003","NortheastpolderandUrk","GG2209","GGDFlevoland","JZ08","Flevoland","KK41","Northwest","LB2401","NortheasternPolder","LG06","IJsselmeerpolders","LD02","EastNetherlands","PV24","Flevoland","RE03","CentralNetherlands","ES06","Flevoland","MC18","Flevoland","RA0410","Flevoland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0601","Flevoland","TR03","IJsselmeercoast","VT03","Flevoland","VR25","Flevoland","ZK07","Flevoland","4","20,000to50,000inhabitants","3","Moderatelyurban","21227","1076"
"Utrecht (municipality)","GM0344","Utrecht","Utrecht","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1703","UtrechtMetropolitanArea","GG2514","GGDRegionUtrecht","JZ22","UtrechtCity","KK41","Northwest","LB2603","CentralHorticulturalAreainUtrecht","LG10","Riverarea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR16","4majorcitiesexcludingNorthSearesorts","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","8","250,000inhabitantsormore","1","Verystrongurban","359370","3479"
"Utrecht Hill Ridge","GM1581","UtrechtHillRidge","UtrechtHillRidge","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1704","South-eastUtrecht","GG2514","GGDRegionUtrecht","JZ23","South-eastUtrecht","KK41","Northwest","LB2601","CrookedRhineregionandHeuvelrug","LG10","Riverarea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR07","UtrechtHillRidgeand'tGooi","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","4","20,000to50,000inhabitants","4","Notveryurban","49946","785"
"Vaals","GM0981","Vaals","Vaals","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3002","MaastrichtHillCountry","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","3","10,000to20,000inhabitants","3","Moderatelyurban","10084","1058"
"Valkenburg on the Geul","GM0994","ValkenburgontheGeul","ValkenburgontheGeul","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3002","MaastrichtHillCountry","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","3","10,000to20,000inhabitants","4","Notveryurban","16365","680"
"Valkenswaard","GM0858","Valkenswaard","Valkenswaard","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","31221","1484"
"Veendam","GM0047","Veendam","Veendam","AM01","Groningen","AR05","NorthernNetherlands","CR01","EastGroningen","CS010","EastGroningen","CP0100","EastGroningen","GG0111","GGDGroningen","JZ01","Groningen","KK42","North","LB2004","WesterwoldeandGroningenPeatColonies","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV20","Groningen","RE01","NorthernNetherlands","ES01","Groningen","MC01","EastGroningen","RA0101","Groningen","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0101","Groningen","TR17","OtherNetherlands","VT08","Groningen","VR01","Groningen","ZK09","Groningen","4","20,000to50,000inhabitants","3","Moderatelyurban","27417","1007"
"Veenendaal","GM0345","Veenendaal","Veenendaal","AM38","FoodValley","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1704","South-eastUtrecht","GG2514","GGDRegionUtrecht","JZ21","FoodValley","KK41","Northwest","LB2605","SandyareainUtrecht","LG05","CentralLivestockFarmingArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES09","FoodValley","MC16","EemandValley","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0902","FoodValleyUtrecht","TR07","UtrechtHillRidgeand'tGooi","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","5","50,000to100,000inhabitants","2","Stronglyurban","66912","2200"
